registro,type,modified,language,license,rightsHolder,accessRights,bibliographicCitation,references,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,associatedMedia,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,_class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,measurementID,measurementType,measurementValue,measurementAccuracy,measurementUnit,measurementDeterminedBy,measurementDeterminedDate,measurementMethod,measurementRemarks,resourceRelationshipID,resourceID,relatedResourceID,relationshipOfResource,relationshipAccordingTo,relationshipEstablishedDate,relationshipRemarks,uniprot
1,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV17802,TULV17802,235,"A. Castaño N, W. Devia",,,,,,,,,,,,https://flic.kr/p/vrABiE,,,,,,,,,,,,,,,,,10/27/2013,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Obando,San Isidro,"Obando Via San Isidro, finca Cristales",,978,978,,,,,,,,,4.5672,-75.9625,WGS84,,,,,"04°34'02.2""N","75°57'45.3""W",grados minutos segundos,,,,,"A. Castaño N, W. Devia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achatocarpus nigricans Triana,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,ACHATOCARPACEAE,Achatocarpus,,nigricans,,Especie,,Triana,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2528868
2,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV17938,TULV17938,358,A. Castaño N.,,,,,,,,,,,,https://flic.kr/p/wp74Wt,,,,,,,,,,,,,,,,,8/14/2014,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 2, individuo 12, Bosque Bernal.",,1300,1300,,,,,,,,,4.119762,-76.079869,WGS84,,,,,4.119762,-76.079869,grados minutos segundos,,,,,A. Castaño N.,,,,,,,,,,,,,,,,,,,,,,,,,,,A. Cogollo,,,,,,,,,,,,,Saurauia,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Ericales,ACTINIDIACEAE,Saurauia,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2528868
3,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV17964,TULV17964,363,A. Castaño N.,,,,,,,,,,,,https://flic.kr/p/vrMyqc,,,,,,,,,,,,,,,,,8/14/2014,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 2, individuo 41, Bosque Bernal.",,1300,1300,,,,,,,,,4.119762,-76.079869,WGS84,,,,,4.119762,-76.079869,grados minutos segundos,,,,,A. Castaño N.,,,,,,,,,,,,,,,,,,,,,,,,,,,A. Cogollo,,,,,,,,,,,,,Spondias,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,ANACARDIACEAE,Spondias,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2528869
4,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV7500,TULV7500,2842,"W. Devia, R. Bernal, F. Prado",,,,,,,,,,,,https://flic.kr/p/wj6mVf,,,,,,,,,,,,,,,,,5/17/1989,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,San Isidro,"Corregimiento San Isidro, vía Canalete-Malaga, frente a Cartón Colombia.",,30,30,,,,,,,,,3.9333,-77.1333,WGS84,,,,,03°56'00''N,77°08'00''W,grados minutos segundos,,,,,"W. Devia, R. Bernal, F. Prado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unonopsis,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2528877
5,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV7519,TULV7519,2862,"W. Devia, R. Bernal, F. Prado",,,,,,,,,,,,https://flic.kr/p/wmtMAR,,,,,,,,,,,,,,,,,5/18/1989,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,San Isidro,"Corregimiento San Isidro, vía Canalete-Málaga, frente a Cartón Colombia.",,30,30,,,,,,,,,3.9333,-77.1333,WGS84,,,,,03°56'00''N,77°08'00''W,grados minutos segundos,,,,,"W. Devia, R. Bernal, F. Prado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylopia,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Xylopia,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2528877
6,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV7520,TULV7520,2863,"W. Devia, R. Bernal, F. Prado",,,,,,,,,,,,https://flic.kr/p/vpB5Ez,,,,,,,,,,,,,,,,,5/18/1989,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,San Isidro,"Corregimiento San Isidro, vía Canalete-Málaga, frente a Cartón Colombia.",,30,30,,,,,,,,,3.9333,-77.1333,WGS84,,,,,03°56'00''N,77°08'00''W,grados minutos segundos,,,,,"W. Devia, R. Bernal, F. Prado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylopia,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Xylopia,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2528877
7,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV7532,TULV7532,2875,"W. Devia, F. Prado",,,,,,,,,,,,https://flic.kr/p/w2n4de,,,,,,,,,,,,,,,,,5/18/1989,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,San Isidro,"Corregimiento San Isidro, via Canalete-Malaga, frente a Cartón Colombia.",,30,30,,,,,,,,,3.9333,-77.1333,WGS84,,,,,03°56'00''N,77°08'00''W,grados minutos segundos,,,,,"W. Devia, F. Prado",,,,,,,,,,,,,,,,,,,,,,,,,,,P.J.M. Maas (U),1998,,,,,,,,,,,,Crematosperma,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Crematosperma,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2528877
8,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV7653,TULV7653,2991,W. Devia,,,,,,,,,,,,https://flic.kr/p/w23M3p,,,,,,,,,,,,,,,,,2/16/1989,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Tuluá,Monteloro,"Corregimiento Monteloro, Hacienda Piedritas, vía a Jicaramata.",,1900,1900,,,,,,,,,3.9167,-76.0667,WGS84,,,,,03°55'00''N,76°04'00''W,grados minutos segundos,,,,,W. Devia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annona,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2528877
9,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV7656,TULV7656,2995,W. Devia,,,,,,,,,,,,https://flic.kr/p/w1VHjY,,,,,,,,,,,,,,,,,2/17/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Yotoco,,Reserva Natural SW de Buga.,,1500,1500,,,,,,,,,3.875,-76.4358,WGS84,,,,,03°52'30''N,76°26'09''W,grados minutos segundos,,,,,W. Devia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annona,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2528877
10,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV7662,TULV7662,3001,W. Devia,,,,,,,,,,,,https://flic.kr/p/wjrDpT,,,,,,,,,,,,,,,,,2/17/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Yotoco,,Reserva Natural SW de Buga.,,1500,1500,,,,,,,,,3.875,-76.4358,WGS84,,,,,03°52'30''N,76°26'09''W,grados minutos segundos,,,,,W. Devia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guatteria,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2528877
